,fname,lname,nname,height,weight,reach,stance,win,lose,draw
687,Jay,Cucciniello,,"5' 7""",155 lbs.,--,Orthodox,8,1,0
688,Josh,Culibao,Kuya,"5' 10""",145 lbs.,"73.0""",Orthodox,9,1,1
689,Chris,Culley,,--,145 lbs.,--,,20,15,0
690,Abel,Cullum,The Silent Assassin,"5' 7""",139 lbs.,--,Orthodox,20,6,0
691,Zak,Cummings,,"6' 0""",185 lbs.,"75.0""",Southpaw,24,7,0
692,Everett,Cummings,,--,205 lbs.,--,,12,0,0
693,Patrick,Cummins,Durkin,"6' 2""",205 lbs.,"76.0""",Orthodox,10,7,0
694,Luke,Cummo,,"6' 0""",170 lbs.,"74.0""",Orthodox,6,6,0
695,Hugo,Cunha,Silverback,"6' 4""",250 lbs.,--,,6,0,0
696,Alton,Cunningham,The Bo-Man,"6' 2""",205 lbs.,"77.0""",Orthodox,4,2,0
697,Santo,Curatolo,,"5' 3""",125 lbs.,"62.0""",Southpaw,6,2,0
698,Larry,Cureton,,"6' 2""",240 lbs.,--,Orthodox,0,2,0
699,Jeff,Curran,Big Frog,"5' 6""",135 lbs.,"69.0""",Orthodox,36,18,1
700,Kailin,Curran,,"5' 4""",115 lbs.,"65.0""",Orthodox,4,5,0
701,Pat,Curran,Paddy Mike,"5' 9""",145 lbs.,--,,22,7,0
702,Chris,Curtis,Action-Man,"5' 10""",185 lbs.,"75.0""",Orthodox,26,8,0
703,Ion,Cutelaba,The Hulk,"6' 1""",205 lbs.,"75.0""",Southpaw,16,6,1
704,Gleidson,Cutis,Poney,"5' 9""",155 lbs.,--,Orthodox,7,4,0
705,Sarah,D'alelio,The Monster,"5' 7""",145 lbs.,--,,11,7,0
706,Marcos,da Matta,Parrumpinha,"5' 4""",145 lbs.,--,,11,3,0
707,Henrique,da Silva,Frankenstein,"6' 3""",205 lbs.,"76.0""",Orthodox,14,5,0
708,Alex,Da Silva,Leko,"5' 8""",155 lbs.,"73.0""",Orthodox,21,3,0
709,Daniel,Da Silva,Miojo,"5' 6""",125 lbs.,"70.0""",Switch,11,2,0
710,Henrique,Da Silva Lopes,Montanha,"6' 3""",240 lbs.,--,,5,2,0
711,Nicolas,Dalby,Danish Dynamite,"5' 11""",170 lbs.,"74.0""",Orthodox,19,4,1
712,Paul,Daley,Semtex,"5' 9""",170 lbs.,"76.0""",Orthodox,39,15,2
713,Dave,Dalgliesh,,"6' 2""",205 lbs.,--,Orthodox,30,19,2
714,Richard,Dalton,,"6' 1""",205 lbs.,--,Orthodox,4,3,1
715,Aisling,Daly,Ais the Bash,"5' 2""",115 lbs.,"64.0""",Orthodox,16,6,0
